id,price
38577435,2990
38388516,486
38537504,1260
37749086,3230
38190004,2769
38589599,1070
38314128,1350
37952400,3902
38406715,4390
38478201,1130
37931005,1249
38496282,980
38448760,720
38049689,350
38467738,220
38331856,290
38470281,290
38512305,2990
38443271,380
38529650,1990
38591354,550
38529574,499
38639695,3297
38546333,4450
38568702,240
38598997,3770
37837335,1840
38353938,1530
38448190,1570
37528956,499
38340034,2890
38565123,950
38151833,2550
38277408,1999
37529166,499
38638726,1350
38639023,5150
38291619,670
38446409,1140
38444802,1849
38470449,360
37985125,490
38460111,1990
38446541,490
37869665,275
38296601,1870
38551543,2140
38572268,1850
37997722,740
38493473,1190
38583341,1290
37047733,1590
37547932,2150
37981275,1580
38408039,2370
37619161,500
38522082,1599
38385064,2320
38407875,6290
38218361,3470
38393340,2189
37625590,1310
38429683,3150
38484081,3490
38053626,4700
38586849,2790
38465497,2820
37937976,1090
38574796,3690
38402560,2070
38533476,1090
38398869,3250
38243717,2590
38590063,3039
38190261,850
38434512,3930
38400901,9999
38283115,1280
38499200,1600
37867544,1360
38126117,2430
38589331,3890
38403626,3490
38119511,1850
38619835,1549
38467607,1830
37381540,3790
37802467,6650
38275264,5550
38349844,2930
38486037,1400
38383034,5890
38350019,2270
38412268,1030
38361210,1350
38536405,1440
36874750,1350
38502781,1299
38453135,2499
38554198,1850
38418755,4230
38075924,3390
38617260,1190
38636518,3790
38198343,4650
38603967,3190
38332372,3130
38500883,3630
38327962,2350
38473376,830
38141906,990
38085923,819
38535525,3190
38274420,1199
38522893,1390
38352805,1649
38603963,950
38110433,1999
38536406,3290
38591467,4249
38322918,9999
38376435,1550
38604735,2050
38465492,2090
38535522,3460
38507832,1970
38469339,3050
38265948,4240
38590068,2370
38345556,1230
38098914,4190
38422440,1290
38477164,1180
38586844,2290
38541193,1599
37425944,979
38545771,3250
38591459,1570
38527183,2050
38078907,2899
38563593,4250
38418766,2230
38235011,1099
38090523,2330
36927983,1760
38152454,2350
37029244,880
38603968,1150
38252685,3150
38626272,2490
38473795,1680
37923894,1090
38361065,2999
38628083,1749
38448294,3699
38205833,2290
38250338,3230
37747016,1150
37969077,4650
38353591,1290
38429680,3130
38058441,3299
38015085,9999
38363160,1650
37871399,2080
38580112,1200
38532379,2430
38621056,930
38442733,1620
38614884,990
38626871,1899
38628081,1350
38416002,2760
38313829,3299
38402554,2399
38440357,2350
38192473,1650
38556553,890
38615389,2270
38530739,1380
37865357,1160
38334158,1670
38342784,2650
38348871,2350
37711302,1190
38478034,1490
37843932,1000
38171439,2650
38502049,3150
38270625,2249
38392794,2460
38495617,2350
38618408,2030
38062533,1170
37939851,899
38288356,2975
37725898,1280
38315487,3650
38634389,3180
38545878,4490
38536409,1920
38331470,3390
38426667,3190
38401719,1570
38549010,2500
38520160,3999
38527181,1700
37915486,3500
37787915,2080
37963375,1799
38439651,3050
38633320,3900
37784923,1540
38509436,2640
37580314,2710
38609759,3550
38370327,2800
38163273,4999
38411181,2990
38562389,2040
38560945,1830
38597630,2850
38612843,1450
38376436,2700
38276085,3899
38457613,2050
38174933,2090
38087601,5099
38115519,245
38590041,3140
37691413,5850
38571688,2700
38527182,1250
38405735,2320
38186873,4190
38581885,2650
38638468,1950
38564421,1090
38437932,2150
38486779,4890
38378614,3410
38528832,3490
38412266,2990
38378621,2220
38523816,3333
38316230,1730
38581879,1499
37845230,2499
38582719,1150
38016785,4590
38058358,2870
37701951,1799
38510428,2380
38457611,1079
38519234,2680
38146456,3490
37949890,1999
38544911,1670
38397765,1690
38086511,2590
38490375,620
37747923,2050
38357817,1190
38626727,1960
38571965,2750
38352376,2460
38447194,9999
38487842,1450
38485659,2350
38444877,1330
38477232,3895
37329973,650
37609656,670
38180071,2140
37386601,650
38235671,5190
37039396,1590
38578409,430
37913576,1090
38373024,1290
38576332,1290
38632805,560
38269471,490
38511752,290
38520202,1670
38539758,1320
38546979,1299
38511067,3390
38429398,780
37639959,690
38421273,1390
38197411,1390
38528571,990
38044922,1390
37615186,1440
38456025,1340
38402688,530
38617861,1490
38238355,1290
38587579,1340
38559554,1480
38514143,2570
38506144,2820
38612136,1540
38141565,1100
38611393,1000
38469259,2550
38103072,3770
38612399,2700
38334867,3670
38333837,900
38071141,1800
38506303,1690
38406180,770
38606228,4300
38562799,430
37738976,590
38270436,1120
38450354,2090
38562123,2470
38498625,1399
37152953,1170
38482903,630
37978318,2880
38563012,2170
37974824,1540
38454488,1460
38232496,1120
38438076,3730
38601445,640
37968362,1690
38596019,1570
38326183,1970
38633972,1950
38064575,2750
38179464,1890
38547410,600
38284308,2590
38397444,580
37973681,1235
38239285,870
37955294,1390
38595729,630
38239371,2530
38078447,1050
37975616,1070
37959530,2250
37992381,1720
37968126,1190
37976282,668
38515392,3650
38510575,670
38510297,1450
38122904,1390
38555309,1860
38595691,2530
38554012,2170
38273431,290
38618418,240
38273395,1079
38271598,1270
38352679,1090
37994180,820
37994807,1680
38614128,1920
38442828,6666
38322131,1200
37973576,6666
37990969,470
38109196,1110
38006067,400
37990557,1580
38478249,1520
38463271,3300
38469854,2220
37973711,1360
37976682,1380
37994050,890
38421036,1580
38048689,1770
37978584,610
38080832,1599
38598318,500
37541440,2150
37973674,1580
38596726,580
38508908,620
38598677,870
38407487,2370
38578053,540
38514973,600
37608362,500
38528703,470
38625500,600
38426966,1175
38581340,575
38241433,265
38479067,1650
38323367,1199
38430724,325
38126937,2480
38501887,3090
37625588,1310
37426539,490
38115291,240
38173756,499
38498108,1700
38577964,1075
38248277,590
38206718,3470
38379398,530
37338573,340
38489989,1260
38450914,2580
38338184,1649
38340271,2930
38163937,1490
38602041,3190
38258389,690
38481578,1400
38321241,2550
38563483,360
38067394,3390
38585831,2790
37379197,820
38131431,5690
38399435,6290
38541255,3199
38436546,1180
37737531,380
38173742,920
38044786,4700
38526252,3190
38543237,2990
38546819,1499
38336227,430
38266347,1199
38326201,3130
38552860,3199
38507623,1970
38264192,4240
38393244,390
38626487,520
38176638,850
38421777,3150
38507693,630
38600424,769
38338100,350
38374560,5890
38370986,1550
38341661,410
38313770,2350
38071798,599
38280881,330
37854531,2749
38313025,270
38100465,535
38347876,720
38553225,1850
38351909,1360
38420016,4490
38541179,3250
38617047,1190
38324077,1790
38352605,500
38495261,1299
38516421,1599
38436589,2385
38517854,420
38229405,580
37703485,550
38540659,1599
38473150,1390
38233541,3700
38416054,4230
38325985,1230
38534313,1390
38452233,2499
38524347,2050
38475115,673
38233092,1099
38513736,4240
38321549,749
38411659,1030
38633266,770
38473724,3490
38012154,1399
38387369,2070
38501524,1650
38121018,2430
38079539,1350
38558791,750
37684919,1750
38223210,460
38598621,1280
38583628,2290
37864931,1360
38153476,1380
38010720,1150
38215576,1250
38624488,1790
38528737,1440
38582242,990
38276524,9999
38577447,1780
37087078,290
38573090,1530
38444239,1180
37791459,6650
38524275,850
38603964,2050
38108663,1999
38387427,3490
38241594,2590
38270247,1280
38580072,1570
38167667,630
38526627,2790
38526162,3290
38597846,400
38348346,2270
38503597,510
38624994,3790
38405419,2230
38516512,1390
38507672,530
38609993,1890
38078137,819
38554760,1040
38596494,990
37912059,1090
37965466,599
38563111,4250
38608763,1570
38282936,890
38274274,3390
38471594,830
38467071,3050
38614583,1220
38072254,2899
38386700,3250
38422207,7530
38442822,3159
